"","county","state","season","title","latitude","longitude","date","number","classification","temperature_high","temperature_mid","temperature_low","dew_point","humidity","cloud_cover","moon_phase","precip_intensity","precip_probability","precip_type","pressure","summary","conditions","uv_index","visibility","wind_bearing","wind_speed"
"1","Yuba County","California","Fall","Report 7211: Hunters Have Unusual Night Time Encounter",39.08,-121.42,"10/1/1959",7211,"Class B",48.4,34.2,21.4,15.8,50.6,1.6,0.98,0,0,"",1026.2,"Clear conditions throughout the day.","Clear",NA,9.7,260.4,9.4
"2","Tulare County","California","Fall","Report 1229: Boy Scout has late night sighting above Porterville",36.10222,-118.8489,"8/1/1955",1229,"Class A",81.4,71.8,64.5,60.3,70.8,35.9,0.81,NA,0,"",1015.8,"Clearing in the afternoon.","Partially cloudy",NA,9,286.4,9.2
"3","Tehama County","California","Fall","Report 849: Girl has daytime sighting near Payne's Creek",40.33556,-121.9139,"11/1/1968",849,"Class A",81.4,71.8,64.5,60.3,70.8,35.9,0.81,NA,0,"",1015.8,"Clearing in the afternoon.","Partially cloudy",NA,9,286.4,9.2
"4","Sutter County","California","Summer","Report 9202: Man remembers childhood daytime sighting along the Feather River",39.205,-121.58,"7/1/1965",9202,"Class A",81.4,71.8,64.5,60.3,70.8,35.9,0.81,NA,0,"",1015.8,"Clearing in the afternoon.","Partially cloudy",NA,9,286.4,9.2
"5","Stanislaus County","California","Fall","Report 14338: Old newspaper article (Titusville Morning Herald - Pennsylvania) about sightings near Orestimba Creek in the Diablo (Devil) Mountains",37.39555,-121.4871,"1869-11-10",14338,"Class A",81.4,71.8,64.5,60.3,70.8,35.9,0.81,NA,0,"",1015.8,"Clearing in the afternoon.","Partially cloudy",NA,9,286.4,9.2
"6","Siskiyou County","California","Summer","Report 2896: Sister and brother see 3 creatures near Yreka",41.82417,-122.9958,"8/1/1944",2896,"Class A",81.4,71.8,64.5,60.3,70.8,35.9,0.81,NA,0,"",1015.8,"Clearing in the afternoon.","Partially cloudy",NA,9,286.4,9.2
"7","Santa Barbara County","California","Spring","Report 25444: High school teacher recalls a nighttime sighting while camping in the Los Padres National Forest",34.73389,-119.9254,"4/15/1982",25444,"Class A",68,57.1,49.6,44.8,64.9,5.2,0.74,0,0,"",1014.2,"Clear conditions throughout the day.","Clear",NA,18.1,299.5,21.7
"8","San Luis Obispo County","California","Summer","Report 27983: Motorists encounter unusual creature on Highway 46 near Paso Robles, CA",35.665,-120.55,"8/1/1974",27983,"Class A",101.9,74.3,56.9,53.5,54.3,0,0.45,0,0,"",1012,"Clear conditions throughout the day.","Clear",NA,19.3,240,20.6
"9","San Diego County","California","Winter","Report 2779: A Local Writer Discusses Her Experiences Pursuing Local Reports and Legends",32.71528,-117.1564,"2/15/1981",2779,"Class C",74.6,63.3,55.1,53,71.1,70.1,0.39,0,0,"",1017,"Partly cloudy throughout the day.","Partially cloudy",NA,7.1,315.7,12.9
"10","San Diego County","California","Summer","Report 51530:  Camper on Mount Palomar reports heavy biped running through campground late at night.",33.32237,-116.8782,"7/13/1988",51530,"Class B",82.8,71.9,63.7,55.4,58.2,57.7,0,0,0,"",1013.3,"Clearing in the afternoon.","Partially cloudy",NA,9.7,231.9,9.8
"11","San Diego County","California","Summer","Report 4446: Daytime sighting by hiker on La Jolla Indian Reservation.",33.2675,-116.8625,"7/4/1993",4446,"Class A",72.7,68.2,65.7,57.3,68.6,76.8,0.53,0,0,"",1009.3,"Partly cloudy throughout the day.","Partially cloudy",NA,8.4,187,11.4
"12","San Diego County","California","Summer","Report 36070: Possible knocks and chatter at Burnt Rancherias Campground, Laguna Mountain",32.81075,-116.4208,"7/22/2012",36070,"Class B",80.5,69.9,62,60.8,75,43,0.13,0.006,100,"['rain']",1013.1,"Clearing in the afternoon with morning rain.","Rain, Partially cloudy",NA,8.8,279.7,10.6
"13","San Diego County","California","Fall","Report 63560: Whoops and knocks at campground near Julian",33.03662,-116.5645,"10/20/2019",63560,"Class B",82.2,63.8,45.9,42.3,50.6,1.9,0.74,0,0,"",1011.5,"Clear conditions throughout the day.","Clear",8,9.7,337.6,12.4
"14","Santa Barbara County","California","Fall","Report 13236: Boar hunters find fresh footprints north of Lake Cachuma.",34.60665,-120.0023,"9/30/2005",13236,"Class B",80.4,63.9,50.9,51,66.6,2.3,0.91,0,0,"",1009.4,"Clear conditions throughout the day.","Clear",NA,9.5,227.7,10.8
"15","Santa Cruz County","California","Spring","Report 16691: Man describes possible sighting during childhood in Hinkley Basin",37.055,-121.845,"4/15/1958",16691,"Class B",80.4,63.9,50.9,51,66.6,2.3,0.91,0,0,"",1009.4,"Clear conditions throughout the day.","Clear",NA,9.5,227.7,10.8
"16","Santa Cruz County","California","Fall","Report 20197: Nighttime sighting by motorist near Mt. Madonna Park in the Santa Cruz Mountains",38.4906,-121.7138,"10/11/1980",20197,"Class A",69.4,60.6,52.9,50.9,72.6,61.9,0.09,0,0,"",1014.5,"Partly cloudy throughout the day.","Partially cloudy",NA,10.8,193.9,14
"17","Santa Cruz County","California","Spring","Report 11162: Family has sightings and encounters in Santa Cruz mountains",37,-121.7,"10/1/2004",11162,"Class A",66.3,58.4,54,50.4,75.7,51.8,0.6,0,0,"",1015.9,"Partly cloudy throughout the day.","Partially cloudy",NA,9.9,261.4,12.4
"18","Shasta County","California","Spring","Report 26381: Man recalls adversarial encounter with an unknown creature near French Gulch",40.8333,-122.6417,"4/15/1973",26381,"Class B",68.1,54.3,39.8,40,60.1,78.8,0.44,NA,0,"",1016.7,"Partly cloudy throughout the day.","Partially cloudy",NA,13.7,148,13.6
"19","Shasta County","California","Spring","Report 7555: Two Young Fishermen Have Mid-day Encounter at Lake Shasta",40.8875,-122.3775,"8/1/1977",7555,"Class A",107,81.6,59.1,45.1,30.7,94.4,0.58,0.787,100,"['rain']",1016.2,"Cloudy skies throughout the day with afternoon rain.","Rain, Overcast",NA,30.7,156.1,11.4
"20","Shasta County","California","Fall","Report 1653: Husband and wife have late night sighting on Highway 299",40.63556,-122.7325,"10/1/1978",1653,"Class A",89.5,76.5,65,48.2,39,18.4,0,0,0,"",1014.5,"Clear conditions throughout the day.","Clear",NA,39.1,339.9,18.8
"21","Shasta County","California","Summer","Report 8184: Large Footprints Found, Vocalizations Heard by Vacationer Near Lake Shasta",40.755,-122.33,"8/1/1984",8184,"Class B",91.4,76.9,58.7,49.4,40.9,0.2,0.15,0,0,"",1009.7,"Clear conditions throughout the day.","Clear",NA,35.7,181.3,16.1
"22","Shasta County","California","Summer","Report 69291: Possible ""Ohio howls"" south of Shingletown (midway between Redding and Lassen)",40.45787,-121.8765,"6/15/1988",69291,"Class B",99.8,83.7,66.2,56.5,45.1,51.9,0.05,0,0,"",1010.4,"Becoming cloudy in the afternoon.","Partially cloudy",NA,45,335.7,10.9
"23","Shasta County","California","Summer","Report 2558: Man hears strange late night scream outside Shingletown",40.4925,-121.8881,"8/1/1991",2558,"Class B",96.6,81.3,62.3,50.1,37.7,5.7,0.71,0,0,"",1013.8,"Clear conditions throughout the day.","Clear",NA,47.8,155.8,16
"24","Shasta County","California","Unknown","Report 3683: Men hear evening vocalization outside their home in Redding",40.58667,-122.3906,"1/1/1992",3683,"Class B",56.8,40.6,29.3,34.9,82.9,43.9,0.89,0,0,"",1022.8,"Partly cloudy throughout the day.","Partially cloudy",NA,37.3,353.8,7
"25","Shasta County","California","Fall","Report 8784: Residents Awakened by Early Morning Vocalizations",40.88,-121.675,"9/1/1992",8784,"Class B",84.6,69.6,56,48.8,53.3,49.6,0.16,0.043,100,"['rain']",1012.5,"Partly cloudy throughout the day with afternoon rain.","Rain, Partially cloudy",NA,27.4,150.9,7.7
"26","Shasta County","California","Fall","Report 6429: Woman recalls a nighttime sighting on Hwy. 299 near Burney",40.92911,-121.6156,"9/15/1994",6429,"Class A",90,72,56.2,38.8,33.4,0,0.36,0.261,100,"['rain']",1015.2,"Clear conditions throughout the day with early morning rain.","Rain",NA,42.7,335.6,9.3
"27","Shasta County","California","Summer","Report 11496: Lady has two Northern California sightings, over a 20year period.",40.75,-122.1667,"7/15/1997",11496,"Class A",96.9,82.3,64.8,53.8,41.6,0.7,0.36,0,0,"",1014,"Clear conditions throughout the day.","Clear",NA,9.9,170,9.5
"28","Shasta County","California","Winter","Report 11986: Daylight sighting by guide and two tourists at Lake Shasta Caverns",40.7974,-122.278,"3/15/2001",11986,"Class A",62,51.1,41.4,34.3,53.6,42.7,0.7,0,0,"",1017.5,"Partly cloudy throughout the day.","Partially cloudy",NA,9.9,296.6,8.2
"29","Shasta County","California","Summer","Report 4637: Family hears late night vocalizations near Lake McCumber",40.53806,-121.7314,"6/26/2002",4637,"Class B",98.2,84.5,69.2,57.5,43.5,5.9,0.56,0,0,"",1010.5,"Clear conditions throughout the day.","Clear",NA,9,180.4,16.3
"30","Shasta County","California","Spring","Report 14323: Possible camp stalking in Jones Valley, Lake Shasta",40.75,-122.1675,"4/19/2003",14323,"Class B",70.6,57.3,43.9,33.6,44.2,0,0.6,0,0,"",1018.2,"Clear conditions throughout the day.","Clear",NA,9.9,316.8,8.2
"31","Shasta County","California","Winter","Report 13549: Evening sighting by a motorist near Shingletown",40.4999,-121.9167,"1/7/2006",13549,"Class B",52.3,47.7,39.3,45.4,92,74.6,0.27,0.152,100,"['rain']",1018.5,"Partly cloudy throughout the day with early morning rain.","Rain, Partially cloudy",NA,5.8,232.4,14.8
"32","Shasta County","California","Summer","Report 15540: Woman describes a childhood encounter outside a tent on the edge of Lake Shasta",40.8833,-122.2333,"8/21/2006",15540,"Class B",90.3,73.8,57.6,39.9,32.7,0,0.93,0,0,"",1014.3,"Clear conditions throughout the day.","Clear",NA,9.9,169.9,9.6
"33","Shasta County","California","Summer","Report 18298: Man collecting pine nuts retreats from intimidation approach, above French Gulch near Lake Shasta",40.7333,-122.6667,"4/18/2007",18298,"Class A",56.4,46.4,32.5,25.7,46.9,24.6,0.04,0,0,"",1020.8,"Partly cloudy throughout the day.","Partially cloudy",NA,9.9,300.6,9.5
"34","Shasta County","California","Winter","Report 38933: Footprints found along snow covered road near Whiskeytown Lake",40.5835,-122.553,"1/7/2013",38933,"Class B",58.1,47.5,39.1,35.8,64.6,10.7,0.86,0,0,"",1022.1,"Clear conditions throughout the day.","Clear",NA,9.9,345,5.8
"35","Shasta County","California","Summer","Report 59668: Boater spots something odd during the day on Lake Shasta",40.7729,-122.1024,"7/15/2014",59668,"Class B",96.4,84.8,72.3,51.6,33.7,0,0.61,0,0,"",1012,"Clear conditions throughout the day.","Clear",NA,9.9,141.5,16.8
"36","Shasta County","California","Summer","Report 63078: Motorist daylight sighting between Redding and Lassen National Forest",40.64289,-121.8214,"9/4/2018",63078,"Class A",97.8,80.5,64.4,52,41.8,0,0.83,0,0,"",1008.3,"Clear conditions throughout the day.","Clear",8,8.7,162,11.8
"37","Shasta County","California","Summer","Report 75290: Bigfoot-like Howls and Stalking at North Battle Creek Reservoir, Lassen National Forest",40.59781,-121.6476,"7/19/2022",75290,"Class B",102.1,86.6,67.2,36.7,20.7,0,0.7,0,0,"",1012.3,"Clear conditions throughout the day.","Clear",10,9.9,171.5,13.4
"38","Sierra County","California","Summer","Report 7363: Family Encounters Red Eyes and Unusual Smells",39.5575,-120.8294,"8/30/2002",7363,"Class B",73.1,66.7,62,46.3,48.1,14.6,0.75,0,0,"",1010.6,"Clear conditions throughout the day.","Clear",NA,9.9,228.1,12.8
"39","Siskiyou County","California","Fall","Report 1473: Family has early evening sighting near Weed",41.42806,-122.3839,"9/1/1966",1473,"Class A",73.1,66.7,62,46.3,48.1,14.6,0.75,0,0,"",1010.6,"Clear conditions throughout the day.","Clear",NA,9.9,228.1,12.8
"40","Siskiyou County","California","Spring","Report 12294: Daylight sighting near Happy Camp",41.75,-123.35,"3/10/1967",12294,"Class A",73.1,66.7,62,46.3,48.1,14.6,0.75,0,0,"",1010.6,"Clear conditions throughout the day.","Clear",NA,9.9,228.1,12.8
"41","Siskiyou County","California","Summer","Report 5637: Campers have frightening experience in the Marble Mountains Wilderness",41.31917,-123.1778,"7/1/1977",5637,"Class B",74.6,66.4,56.9,54.4,66.2,93.9,0.52,0.152,100,"['rain']",1014.3,"Cloudy skies throughout the day with rain in the morning and afternoon.","Rain, Overcast",NA,19.7,315.1,10.2
"42","Siskiyou County","California","Winter","Report 13424: Trail bike rider describes being briefly chased at night near Happy Camp",41.75,-123.35,"12/15/1993",13424,"Class A",48.3,39.8,33.6,34.3,81.1,58.3,0.08,0.004,100,"['rain']",1020,"Partly cloudy throughout the day with morning rain.","Rain, Partially cloudy",NA,15.6,356.8,9
"43","Siskiyou County","California","Summer","Report 8069: Witness hears late night screams near Yreka",41.72944,-122.6361,"7/15/1994",8069,"Class B",95.7,76,55.1,41.7,31.8,0,0.25,0,0,"",1014.8,"Clear conditions throughout the day.","Clear",NA,19.7,352.4,16.1
"44","Siskiyou County","California","Summer","Report 22431: Forestry workers report possbile encounter along the Klamath River near Orleans",41.23598,-123.292,"8/23/1997",22431,"Class B",68.1,60.5,51.9,58.1,92.3,51.6,0.68,0,0,"",1017.9,"Becoming cloudy in the afternoon.","Partially cloudy",NA,11.9,88,10.3
"45","Siskiyou County","California","Summer","Report 22434: Backpacker sighting off the PCT in the Marble Mountains Wilderness",41.28996,-123.056,"8/3/1998",22434,"Class A",96.5,76.2,57.3,49.1,42,0,0.36,0,0,"",1020.8,"Clear conditions throughout the day.","Clear",NA,9.8,29.3,7
"46","Siskiyou County","California","Spring","Report 1391: Man has late night sighting north of Redding",41.45833,-122.4306,"3/4/1999",1391,"Class A",39.3,31.9,24.9,20.9,65.4,61.6,0.58,0,0,"",1021.3,"Partly cloudy throughout the day.","Partially cloudy",NA,9.9,337.2,10.3
"47","Siskiyou County","California","Summer","Report 2928: Eighteen campers find hut; videotape distressed bigfoot walking down mountain ridge",41.3657,-123.1317,"7/20/2000",2928,"Class A",91.4,73.9,54.5,47.4,43.2,0,0.65,NA,0,"",1017.1,"Clear conditions throughout the day.","Clear",NA,9.9,358.9,19.6
"48","Siskiyou County","California","Summer","Report 4630: Afternoon sighting by hiker outside Dunsmuir",41.21361,-122.2703,"6/15/2001",4630,"Class A",82.9,66.8,47.1,45.1,47.1,1.3,0.82,0,0,"",1017,"Clear conditions throughout the day.","Clear",NA,9.9,36.2,14.7
"49","Siskiyou County","California","Summer","Report 13839: Possible vocals heard by family camping near Happy Camp",41.8111,-123.375,"7/15/2006",13839,"Class B",94.5,72.8,59.3,51,50.5,23.2,0.67,0,0,"",1017,"Partly cloudy throughout the day.","Partially cloudy",NA,9.1,328.1,14.3
"50","Siskiyou County","California","Summer","Report 21354: Multi-witness road-crossing sighting on Hwy 96 outside Happy Camp",41.8333,-123.1668,"9/11/2007",21354,"Class A",95.3,71.4,49.5,31.2,26.7,0,0,0,0,"",1015.3,"Clear conditions throughout the day.","Clear",NA,9.9,345.6,8.8
"51","Siskiyou County","California","Spring","Report 26116: Man has close encounter near Oregon border",41.98645,-123.1749,"6/3/2009",26116,"Class A",73.5,61.2,52.7,52.7,75,47.3,0.36,0.122,100,"['rain']",1013.4,"Partly cloudy throughout the day with a chance of rain throughout the day.","Rain, Partially cloudy",NA,9.5,93.4,16
"52","Siskiyou County","California","Spring","Report 27609: Daughter and Mother both observe a large dark creature in the Klamath River bottom",41.65925,-123.4498,"4/22/2010",27609,"Class A",55,50.5,46.3,41.6,71.7,0,0.3,0,0,"",1015.4,"Clear conditions throughout the day.","Clear",NA,8.6,337.8,28.4
"53","Siskiyou County","California","Winter","Report 32654: Family has sighting while driving along Hwy 96 near Yreka, CA",41.845,-122.575,"12/3/2011",32654,"Class A",49.3,30.6,16.4,15.4,58.9,2.6,0.28,0,0,"",1031.4,"Clear conditions throughout the day.","Clear",NA,9.7,209.6,7.9
"54","Sonoma County","California","Summer","Report 6971: Couple hear late night scream near Fort Ross",38.51639,-123.24,"7/2/1981",6971,"Class B",93.8,68.3,54.8,52.9,61.2,41.2,0.03,0,0,"",1011.2,"Clearing in the afternoon.","Partially cloudy",NA,18.2,142.1,14.8
"55","Sonoma County","California","Summer","Report 8598: Daylight Sighting by Hikers Near Bennett Mountain",38.415,-122.585,"7/1/1986",8598,"Class B",98,78.2,61.1,51.3,43.7,7.5,0.82,0,0,"",1012.7,"Clear conditions throughout the day.","Clear",NA,24.9,246.8,12.8
"56","Sonoma County","California","Fall","Report 3169: Man sees creature crossing road near Petaluma",38.25583,-122.5833,"1/1/1991",3169,"Class A",51.9,39.7,30.4,27.2,62.4,58.8,0.53,0,0,"",1023.1,"Partly cloudy throughout the day.","Partially cloudy",NA,7.7,62.6,7
"57","Sonoma County","California","Summer","Report 25260: Nighttime sighting (in headlights) by law enforcement officer on patrol near Cloverdale",38.83996,-123.0585,"9/8/2007",25260,"Class A",88.2,67,54.7,52,63.6,22.2,0.9,0,0,"",1012.2,"Partly cloudy throughout the day.","Partially cloudy",NA,8.9,125,11.4
"58","Stanislaus County","California","Summer","Report 25009: Youngsters encounter large, grey creature in a sugar beet field",37.475,-121.07,"8/14/1962",25009,"Class A",88.2,67,54.7,52,63.6,22.2,0.9,0,0,"",1012.2,"Partly cloudy throughout the day.","Partially cloudy",NA,8.9,125,11.4
"59","Tehama County","California","Winter","Report 7731: Hunting Partners Have Early Morning Roadway Sighting",39.92778,-122.1781,"10/15/1973",7731,"Class A",82.5,66.2,54.8,50.2,60,34.1,0.63,0,0,"",1016.5,"Clearing in the afternoon.","Partially cloudy",NA,14.4,326.4,8.1
"60","Tehama County","California","Summer","Report 6706: Hikers see large print in Yolla Bolly Wilderness",40.0625,-123.2208,"6/1/1975",6706,"Class B",53,50.2,48.8,48.9,95.5,100,0.75,NA,0,"",1015.1,"Cloudy skies throughout the day.","Overcast",NA,11.6,180,5.6
"61","Trinity County","California","Winter","Report 6962: Friends hear late night scream near Garberville",40.20556,-123.4908,"11/1/1964",6962,"Class B",53,50.2,48.8,48.9,95.5,100,0.75,NA,0,"",1015.1,"Cloudy skies throughout the day.","Overcast",NA,11.6,180,5.6
"62","Trinity County","California","Fall","Report 7773: Hunters hear late night screams in the Trinity Alps Wilderness",40.9913,-122.8719,"9/30/1980",7773,"Class B",83.9,65.6,50.1,37.7,37.7,0,0.75,0,0,"",1018.9,"Clear conditions throughout the day.","Clear",NA,14.9,344.1,8.1
"63","Trinity County","California","Summer","Report 14642: Evening road crossing sighting near Lewiston (Hwy 299)",40.6789,-122.8055,"8/9/1982",14642,"Class A",89,78.1,66.8,58,51.2,0.9,0.67,0,0,"",1012,"Clear conditions throughout the day.","Clear",NA,31.6,174.4,13
"64","Trinity County","California","Fall","Report 13419: Firefighter describes multiple-witness sighting during the Loma Fire",40.7485,-123.2718,"9/15/2003",13419,"Class A",77.5,66.2,57.3,51.5,61.1,31.3,0.67,0,0,"",1016.1,"Clearing in the afternoon.","Partially cloudy",NA,9.1,214.1,8.1
"65","Trinity County","California","Fall","Report 7115: Mountain runner spots large, deep footprints on Stuart Fork Trail in Trinity Alps",40.98333,-122.6986,"10/14/2003",7115,"Class B",76.5,60.3,45.8,32.3,36.7,1.3,0.65,0,0,"",1017.8,"Clear conditions throughout the day.","Clear",NA,9.9,357.6,5.6
"66","Trinity County","California","Summer","Report 27327: Wilderness campers have an unknown visitor in the Trinity Alps of Northern California",41.1139,-122.7,"8/29/2010",27327,"Class B",70.3,58.8,48,38.4,50,34.1,0.67,0,0,"",1011.3,"Partly cloudy throughout the day.","Partially cloudy",NA,9.9,349.2,6.3
"67","Tulare County","California","Fall","Report 12328: Hunters are awakened by loud, repetitive vocalizations in Monache Meadows",36.1894,-118.1729,"10/1/1979",12328,"Class B",91.1,81,62.9,40.3,25.2,53.3,0.36,0,0,"",1014.2,"Partly cloudy throughout the day.","Partially cloudy",NA,42.3,140.7,14.8
"68","Tulare County","California","Fall","Report 11407: Two young men camping in the high country, hear vocals",36.05361,-118.5347,"10/27/1985",11407,"Class B",0,NA,0,NA,NA,NA,0.47,NA,NA,"",NA,"","",NA,NA,NA,NA
