COUNTY/CITY,4/1/2020,1/1/2021,1/1/2022,1/1/2023,1/1/2024
Fullerton           ,"143,876","141,614","141,929","140,756","140,311"
Garden Grove        ,"171,947","171,321","170,388","169,046","171,024"
Huntington Beach    ,"198,325","197,081","195,359","193,078","192,503"
Irvine              ,"308,104","301,365","309,841","311,537","314,550"
Laguna Beach        ,"22,988","22,808","22,681","22,433","22,449"
Laguna Hills        ,"31,369","31,048","30,839","30,442","30,315"
Laguna Niguel       ,"64,493","65,482","64,641","63,865","64,291"
Laguna Woods,"17,744","17,624","17,442","17,222","17,148"
La Habra            ,"62,737","62,357","61,700","61,028","60,901"
Lake Forest         ,"85,953","86,330","86,455","86,311","86,917"
La Palma            ,"15,573","15,494","15,315","15,131","15,071"
Los Alamitos        ,"11,887","11,873","11,827","11,970","11,947"
Mission Viejo       ,"93,600","93,080","92,175","91,221","91,304"
Newport Beach       ,"85,096","84,528","83,571","82,707","82,419"
Orange              ,"140,693","139,229","138,944","138,842","138,621"
Placentia           ,"51,776","51,548","51,036","52,182","52,226"
Rancho Santa Margarita,"47,915","47,667","47,092","46,507","46,305"
San Clemente        ,"64,103","63,845","63,146","62,481","62,297"
San Juan Capistrano ,"34,963","34,889","34,670","34,627","34,992"
Santa Ana           ,"310,182","311,541","308,205","308,041","310,797"
Seal Beach          ,"25,298","25,021","24,868","24,447","24,350"
Stanton             ,"37,649","38,190","39,115","38,914","40,297"
Tustin              ,"80,342","80,117","79,243","78,515","78,844"
Villa Park          ,"5,859","5,829","5,759","5,716","5,705"
Westminster         ,"90,934","90,937","90,236","89,400","89,490"
Yorba Linda         ,"68,047","67,727","66,985","66,268","66,087"
Balance Of County    ,"132,865","133,279","131,993","130,391","131,335"
Incorporated,"3,054,124","3,039,073","3,026,078","3,010,674","3,019,500"
County Total,"3,186,989","3,172,352","3,158,071","3,141,065","3,150,835"
Placer County,,,,,
Auburn              ,"13,767","13,706","13,523","13,344","13,218"
Colfax              ,"1,999","2,000","2,024","2,010","1,988"
Lincoln             ,"49,683","50,165","50,977","52,296","53,231"
Loomis              ,"6,807","6,776","6,678","6,597","6,601"
Rocklin             ,"71,564","71,640","71,607","71,420","71,609"
Roseville           ,"147,104","148,506","150,626","152,726","154,329"
Balance Of County    ,"113,815","113,650","112,104","111,692","111,868"
Incorporated,"290,924","292,793","295,435","298,393","300,976"
County Total,"404,739","406,443","407,539","410,085","412,844"
Plumas County,,,,,
Portola             ,"2,111","2,101","2,135","2,099","2,075"
Balance Of County    ,"17,679","17,525","17,119","16,894","16,766"
Incorporated,"2,111","2,101","2,135","2,099","2,075"
County Total,"19,790","19,626","19,254","18,993","18,841"
Riverside County,,,,,
Banning             ,"30,595","30,535","30,744","31,046","31,213"
Beaumont            ,"53,275","53,920","54,208","56,275","57,416"
Blythe              ,"18,778","17,362","17,418","17,224","17,378"
Calimesa            ,"10,020","10,589","10,930","10,909","10,867"
Canyon Lake         ,"11,060","11,044","10,932","10,846","10,832"
Cathedral City      ,"51,319","51,540","51,383","51,045","50,911"
Coachella           ,"41,866","41,856","41,783","42,179","43,173"
Corona              ,"156,670","157,202","156,879","156,268","156,615"
Desert Hot Springs  ,"32,389","32,208","32,276","32,380","32,654"
Eastvale,"69,685","70,401","69,797","69,123","68,884"
Hemet               ,"89,252","89,170","88,856","89,333","89,663"
Indian Wells        ,"4,755","4,740","4,765","4,733","4,797"
Indio               ,"88,722","88,973","89,226","89,978","90,680"
Jurupa Valley,"104,801","105,120","105,117","104,599","104,721"
Lake Elsinore       ,"70,370","70,951","71,586","71,351","71,452"
La Quinta           ,"37,473","37,660","37,523","37,824","38,370"
Menifee,"102,383","104,230","107,120","109,401","111,560"
Moreno Valley       ,"208,069","208,008","207,549","206,903","207,146"
Murrieta            ,"110,706","110,916","110,291","109,364","109,177"
Norco               ,"26,628","24,640","24,957","24,893","25,068"
Palm Desert         ,"50,655","50,590","50,439","50,274","50,889"
Palm Springs        ,"44,169","44,235","44,007","43,802","43,791"
Perris              ,"78,550","78,724","78,191","78,424","79,311"
Rancho Mirage       ,"16,574","16,519","16,787","16,868","16,992"
Riverside           ,"317,624","313,145","317,821","315,747","316,690"
San Jacinto         ,"53,791","54,100","54,108","53,746","53,538"
Temecula            ,"109,731","109,676","109,071","108,173","108,700"
Wildomar,"36,691","36,646","36,306","36,093","36,327"
Balance Of County    ,"391,584","394,465","397,762","399,779","403,563"
Incorporated,"2,026,601","2,024,700","2,030,070","2,028,801","2,038,815"
County Total,"2,418,185","2,419,165","2,427,832","2,428,580","2,442,378"
Sacramento County,,,,,
Citrus Heights,"87,721","87,207","86,071","86,056","85,554"
Elk Grove,"176,349","176,644","176,469","177,446","178,679"
Folsom              ,"82,908","83,076","84,365","85,698","88,023"
Galt                ,"25,469","25,295","25,162","25,608","25,785"
Isleton             ,795,786,778,772,767
Rancho Cordova,"79,144","79,669","80,378","81,604","82,109"
Sacramento          ,"520,252","518,067","516,529","519,466","520,407"
Balance Of County    ,"612,417","609,376","602,502","599,989","597,614"
Incorporated,"972,638","970,744","969,752","976,650","981,324"
County Total,"1,585,055","1,580,120","1,572,254","1,576,639","1,578,938"
San Benito County,,,,,
Hollister           ,"41,675","41,860","42,681","42,547","42,872"
San Juan Bautista   ,"2,084","2,085","2,068","2,032","2,032"
Balance Of County    ,"20,450","20,697","20,893","20,586","20,949"
Incorporated,"43,759","43,945","44,749","44,579","44,904"
County Total,"64,209","64,642","65,642","65,165","65,853"
San Bernardino County,,,,,
Adelanto            ,"36,620","36,700","36,382","36,422","36,131"
Apple Valley        ,"75,917","75,951","75,197","74,500","74,322"
Barstow             ,"25,534","25,409","25,094","24,759","24,669"
Big Bear Lake       ,"5,041","4,975","5,008","4,948","4,958"
Chino               ,"91,436","90,314","92,240","92,546","92,585"
Chino Hills         ,"78,378","78,221","77,519","76,547","76,414"
Colton              ,"53,757","53,891","53,496","52,841","52,778"
Fontana             ,"208,482","210,389","212,741","212,772","214,223"
Grand Terrace       ,"13,126","13,053","12,966","12,793","12,771"
Hesperia            ,"99,756","99,767","99,741","99,338","100,087"
Highland            ,"56,865","56,758","56,223","55,612","55,676"
Loma Linda          ,"24,943","25,137","25,102","24,960","24,965"
Montclair           ,"38,017","37,966","37,647","37,246","37,211"
Needles             ,"4,924","4,885","4,847","4,780","4,769"
Ontario             ,"175,297","176,070","178,564","179,555","181,224"
Rancho Cucamonga    ,"174,253","174,111","173,896","172,344","173,316"
Redlands            ,"73,049","73,008","72,453","71,776","72,696"
Rialto              ,"104,013","103,764","103,362","102,367","103,097"
San Bernardino      ,"223,120","221,295","220,397","225,620","226,541"
Twentynine Palms    ,"28,277","27,420","27,575","25,787","25,346"
Upland              ,"78,864","78,616","78,687","77,849","78,285"
Victorville         ,"134,754","134,649","136,034","136,346","138,202"
Yucaipa             ,"54,705","54,680","54,184","53,635","53,810"
Yucca Valley        ,"21,767","21,863","21,693","21,509","21,594"
Balance Of County    ,"300,759","300,114","298,797","295,842","295,763"
Incorporated,"1,880,895","1,878,892","1,881,048","1,876,852","1,885,670"
County Total,"2,181,654","2,179,006","2,179,845","2,172,694","2,181,433"
San Diego County,,,,,
Carlsbad            ,"115,029","115,373","115,033","115,045","114,319"
Chula Vista         ,"275,127","275,498","275,427","276,813","278,247"
Coronado            ,"23,504","22,415","22,082","22,272","21,589"
Del Mar             ,"3,951","3,927","3,909","3,918","3,919"
El Cajon            ,"106,321","106,112","105,171","104,804","104,180"
Encinitas           ,"61,506","61,593","61,283","61,254","61,028"
Escondido           ,"151,289","151,371","150,419","150,571","150,002"
Imperial Beach      ,"26,577","26,336","26,163","26,109","26,096"
La Mesa             ,"60,637","60,620","60,412","60,753","60,620"
Lemon Grove         ,"27,386","27,333","27,109","27,517","27,568"
National City       ,"58,643","58,524","58,545","58,374","58,555"
Oceanside           ,"173,283","173,354","172,463","172,186","171,483"
Poway               ,"48,781","48,637","48,515","48,620","49,273"
San Diego           ,"1,383,020","1,377,960","1,375,687","1,383,623","1,385,379"
San Marcos          ,"94,287","93,456","93,851","94,823","95,998"
Santee              ,"59,654","59,140","58,886","59,574","59,195"
Solana Beach        ,"12,931","12,890","12,792","12,831","12,887"
Vista               ,"98,690","99,320","99,997","100,113","99,723"
Balance Of County    ,"518,018","513,021","510,986","511,223","511,040"
Incorporated,"2,780,616","2,773,859","2,767,744","2,779,200","2,780,061"
County Total,"3,298,634","3,286,880","3,278,730","3,290,423","3,291,101"
San Francisco County,,,,,
San Francisco,"873,965","855,338","840,575","842,224","843,071"
San Joaquin County,,,,,
Escalon             ,"7,444","7,416","7,333","7,244","7,249"
Lathrop             ,"28,681","29,728","31,689","35,138","37,033"
Lodi                ,"66,128","65,917","66,309","66,164","66,492"
Manteca             ,"83,529","84,895","86,714","88,552","90,917"
Ripon               ,"15,988","16,106","15,908","15,726","15,741"
Stockton            ,"320,290","319,882","318,477","315,685","317,204"
Tracy               ,"92,959","93,774","94,774","95,341","96,609"
Balance Of County    ,"164,214","162,602","160,959","160,053","160,163"
Incorporated,"615,019","617,718","621,204","623,850","631,245"
County Total,"779,233","780,320","782,163","783,903","791,408"
San Luis Obispo County,,,,,
Arroyo Grande       ,"18,347","18,396","18,137","18,039","17,941"
Atascadero          ,"30,800","30,582","30,226","30,323","30,279"
El Paso De Robles   ,"31,383","31,403","30,906","30,792","30,907"
Grover Beach        ,"12,789","12,763","12,622","12,542","12,481"
Morro Bay           ,"10,557","10,602","10,378","10,315","10,261"
Pismo Beach         ,"8,054","8,015","7,911","7,869","7,846"
San Luis Obispo     ,"46,986","47,326","47,394","48,249","48,684"
Balance Of County    ,"123,508","119,650","121,865","121,689","120,070"
Incorporated,"158,916","159,087","157,574","158,129","158,399"
County Total,"282,424","278,737","279,439","279,818","278,469"
San Mateo County,,,,,
Atherton            ,"7,182","7,105","6,949","6,972","6,976"
Belmont             ,"28,126","27,824","27,159","27,180","26,931"
Brisbane            ,"4,851","4,794","4,678","4,695","4,661"
Burlingame          ,"31,243","30,809","30,083","30,410","30,513"
Colma               ,"1,482","1,462","1,426","1,426","1,410"
Daly City           ,"104,836","104,313","102,196","102,513","101,458"
East Palo Alto      ,"30,034","29,662","28,898","28,957","29,078"
Foster City         ,"33,686","33,394","32,785","32,921","32,581"
Half Moon Bay       ,"11,751","11,589","11,317","11,328","11,238"
Hillsborough        ,"11,373","11,270","11,062","11,137","11,116"
Menlo Park          ,"34,145","33,756","32,942","32,943","33,140"
Millbrae            ,"23,321","23,001","22,474","22,687","23,093"
Pacifica            ,"38,675","38,166","37,224","37,393","37,062"
Portola Valley      ,"4,437","4,379","4,269","4,283","4,249"
Redwood City        ,"83,454","81,963","81,700","82,144","81,863"
San Bruno           ,"44,001","43,424","42,470","42,550","42,152"
San Carlos          ,"30,738","30,389","29,708","29,700","29,420"
San Mateo           ,"105,717","105,630","103,618","104,180","103,352"
South San Francisco ,"66,258","65,473","64,209","64,765","64,601"
Woodside            ,"5,307","5,258","5,146","5,176","5,133"
Balance Of County    ,"63,825","62,975","61,738","61,942","61,538"
Incorporated,"700,617","693,661","680,313","683,360","680,027"
County Total,"764,442","756,636","742,051","745,302","741,565"
Santa Barbara County,,,,,
Buellton            ,"5,144","5,136","5,009","4,968","4,970"
Carpinteria         ,"13,141","13,082","12,842","12,734","12,744"
Goleta,"32,661","32,995","32,296","32,503","32,515"
Guadalupe           ,"8,031","8,572","8,496","8,582","8,676"
Lompoc              ,"44,545","43,841","43,654","43,591","43,610"
Santa Barbara       ,"87,408","87,862","85,847","85,382","85,679"
Santa Maria         ,"109,544","110,387","109,348","109,687","110,608"
Solvang             ,"5,814","5,819","5,658","5,660","5,663"
Balance Of County    ,"141,941","133,858","139,924","139,235","139,158"
Incorporated,"306,288","307,694","303,150","303,107","304,465"
County Total,"448,229","441,552","443,074","442,342","443,623"
Santa Clara County,,,,,
Campbell            ,"43,727","43,460","43,201","43,191","43,095"
Cupertino           ,"60,338","60,031","59,644","59,656","59,471"
Gilroy              ,"59,888","60,082","59,786","60,548","61,033"
Los Altos           ,"31,553","31,476","31,269","31,316","31,255"
Los Altos Hills     ,"8,473","8,442","8,442","8,477","8,476"
Los Gatos           ,"33,445","33,336","33,138","33,368","33,230"
Milpitas            ,"81,725","80,512","80,923","81,635","81,773"
Monte Sereno        ,"3,476","3,474","3,494","3,564","3,582"
Morgan Hill         ,"45,283","46,480","46,233","46,333","46,384"
Mountain View       ,"81,875","83,489","84,199","84,463","86,535"
Palo Alto           ,"68,253","68,046","67,905","68,112","67,973"
San Jose            ,"1,012,452","993,937","969,249","970,772","969,491"
Santa Clara         ,"127,874","130,059","130,460","132,386","132,048"
Saratoga            ,"31,091","30,881","30,773","30,845","30,819"
Sunnyvale           ,"155,335","155,732","156,200","157,187","157,566"
Balance Of County    ,"91,471","84,342","90,836","90,946","90,467"
Incorporated,"1,844,788","1,829,437","1,804,916","1,811,853","1,812,731"
County Total,"1,936,259","1,913,779","1,895,752","1,902,799","1,903,198"
Santa Cruz County,,,,,
Capitola            ,"9,859","10,024","9,609","9,558","9,497"
Santa Cruz          ,"64,695","57,112","62,809","62,929","62,776"
Scotts Valley       ,"12,069","12,258","11,943","11,872","11,816"
Watsonville         ,"51,809","52,315","51,096","50,820","51,032"
Balance Of County    ,"132,429","133,824","129,038","128,159","127,451"
Incorporated,"138,432","131,709","135,457","135,179","135,121"
County Total,"270,861","265,533","264,495","263,338","262,572"
Shasta County,,,,,
Anderson            ,"11,171","11,167","11,092","10,994","10,943"
Redding             ,"93,746","93,536","92,682","92,164","92,446"
Shasta Lake         ,"10,342","10,299","10,241","10,162","10,131"
Balance Of County    ,"66,896","66,481","66,191","65,802","65,675"
Incorporated,"115,259","115,002","114,015","113,320","113,520"
County Total,"182,155","181,483","180,206","179,122","179,195"
Sierra County,,,,,
Loyalton            ,738,746,733,727,724
Balance Of County    ,"2,498","2,479","2,472","2,460","2,447"
Incorporated,738,746,733,727,724
County Total,"3,236","3,225","3,205","3,187","3,171"
Siskiyou County,,,,,
Dorris              ,858,862,841,838,836
Dunsmuir            ,"1,703","1,691","1,669","1,658","1,651"
Etna                ,684,684,670,667,665
Fort Jones          ,694,690,679,676,674
Montague            ,"1,229","1,229","1,207","1,202","1,199"
Mount Shasta        ,"3,241","3,237","3,185","3,211","3,203"
Tulelake            ,900,881,879,872,870
Weed                ,"2,919","2,837","2,811","2,692","2,710"
Yreka               ,"7,774","7,787","7,725","7,820","7,805"
Balance Of County    ,"24,074","24,007","23,905","23,843","23,796"
Incorporated,"20,002","19,898","19,666","19,636","19,613"
County Total,"44,076","43,905","43,571","43,479","43,409"
Solano County,,,,,
Benicia             ,"27,082","26,904","26,538","26,255","26,033"
Dixon               ,"18,959","18,992","18,998","19,060","19,403"
Fairfield           ,"120,447","119,990","119,395","120,036","120,339"
Rio Vista           ,"9,988","9,960","9,875","9,969","10,004"
Suisun City         ,"29,454","29,208","28,848","28,543","28,840"
Vacaville           ,"102,229","101,702","101,571","101,272","102,173"
Vallejo             ,"125,936","124,898","123,547","122,220","121,558"
Balance Of County    ,"19,396","18,468","18,255","18,151","18,076"
Incorporated,"434,095","431,654","428,772","427,355","428,350"
County Total,"453,491","450,122","447,027","445,506","446,426"
Sonoma County,,,,,
Cloverdale          ,"9,009","9,009","8,851","8,808","8,710"
Cotati              ,"7,581","7,546","7,397","7,381","7,303"
Healdsburg          ,"11,308","11,195","11,059","11,020","10,985"
Petaluma            ,"59,828","59,450","58,429","58,457","58,445"
Rohnert Park        ,"44,072","44,109","43,649","43,838","43,821"
Santa Rosa          ,"178,059","177,623","175,007","175,013","174,890"
Sebastopol          ,"7,523","7,477","7,418","7,366","7,295"
Sonoma              ,"10,770","10,731","10,714","10,636","10,532"
Windsor             ,"26,217","26,100","25,784","25,628","25,394"
Balance Of County    ,"134,496","131,219","131,346","131,298","130,777"
Incorporated,"354,367","353,240","348,308","348,147","347,375"
County Total,"488,863","484,459","479,654","479,445","478,152"
Stanislaus County,,,,,
Ceres               ,"50,230","49,902","49,517","49,035","49,319"
Hughson             ,"7,469","7,488","7,466","7,539","7,711"
Modesto             ,"218,880","218,686","217,304","216,734","217,862"
Newman              ,"12,356","12,334","12,218","12,103","12,121"
Oakdale             ,"23,171","23,169","23,138","22,942","23,008"
Patterson           ,"23,695","23,679","24,254","24,426","24,790"
Riverbank           ,"24,810","24,791","24,572","24,614","25,006"
Turlock             ,"72,078","71,441","71,228","70,885","71,273"
Waterford           ,"9,099","9,031","8,998","9,103","9,110"
Balance Of County    ,"111,090","110,821","109,520","108,372","108,544"
Incorporated,"441,788","440,521","438,695","437,381","440,200"
County Total,"552,878","551,342","548,215","545,753","548,744"
Sutter County,,,,,
Live Oak            ,"9,159","9,208","9,395","9,448","9,668"
Yuba City           ,"70,181","69,739","69,667","68,984","70,256"
Balance Of County    ,"20,293","20,142","20,091","19,816","20,186"
Incorporated,"79,340","78,947","79,062","78,432","79,924"
County Total,"99,633","99,089","99,153","98,248","100,110"
Tehama County,,,,,
Corning             ,"8,222","8,174","8,090","8,053","8,076"
Red Bluff           ,"14,808","14,694","14,553","14,435","14,300"
Tehama              ,434,432,427,425,422
Balance Of County    ,"42,365","42,036","41,872","41,797","41,510"
Incorporated,"23,464","23,300","23,070","22,913","22,798"
County Total,"65,829","65,336","64,942","64,710","64,308"
Trinity County,,,,,
County Total,"16,112","16,054","15,971","15,944","15,915"
Tulare County,,,,,
Dinuba              ,"24,586","25,008","25,237","25,458","25,573"
Exeter              ,"10,350","10,297","10,250","10,171","10,179"
Farmersville        ,"10,380","10,295","10,230","10,146","10,327"
Lindsay             ,"12,692","12,622","12,557","12,461","12,594"
Porterville         ,"62,627","62,770","62,653","62,508","62,934"
Tulare              ,"68,007","69,260","69,416","69,565","70,799"
Visalia             ,"141,308","141,489","142,146","142,968","144,532"
Woodlake            ,"7,407","7,518","7,643","7,700","7,713"
Balance Of County    ,"135,760","134,741","134,492","133,703","134,267"
Incorporated,"337,357","339,259","340,132","340,977","344,651"
County Total,"473,117","474,000","474,624","474,680","478,918"
Tuolumne County,,,,,
Sonora              ,"5,203","5,189","5,099","5,119","5,132"
Balance Of County    ,"50,417","49,638","49,401","49,507","49,275"
Incorporated,"5,203","5,189","5,099","5,119","5,132"
County Total,"55,620","54,827","54,500","54,626","54,407"
Ventura County,,,,,
Camarillo           ,"70,773","70,550","69,851","69,256","69,014"
Fillmore            ,"16,462","16,754","16,513","16,965","17,061"
Moorpark            ,"36,220","35,895","35,527","35,286","35,114"
Ojai                ,"7,688","7,690","7,609","7,537","7,533"
Oxnard              ,"201,699","200,887","200,037","197,737","197,536"
Port Hueneme        ,"22,065","21,901","21,259","21,077","20,916"
San Buenaventura    ,"110,080","109,802","107,894","107,780","107,569"
Santa Paula         ,"30,666","30,886","31,118","31,400","31,355"
Simi Valley         ,"126,199","126,124","124,264","124,165","124,029"
Thousand Oaks       ,"126,826","126,298","124,525","123,111","122,643"
Balance Of County    ,"95,165","93,129","92,934","91,646","91,093"
Incorporated,"748,678","746,787","738,597","734,314","732,770"
County Total,"843,843","839,916","831,531","825,960","823,863"
Yolo County,,,,,
Davis               ,"65,246","66,631","65,336","64,922","65,054"
West Sacramento     ,"52,853","53,489","52,860","54,251","54,278"
Winters             ,"6,964","7,377","7,427","7,538","7,587"
Woodland            ,"59,717","60,675","60,163","60,052","60,672"
Balance Of County    ,"31,623","26,739","34,390","33,691","34,075"
Incorporated,"184,780","188,172","185,786","186,763","187,591"
County Total,"216,403","214,911","220,176","220,454","221,666"
Yuba County,,,,,
Marysville          ,"13,161","12,902","12,810","12,666","12,752"
Wheatland           ,"3,712","3,681","3,659","3,826","3,893"
Balance Of County    ,"64,702","65,334","65,765","66,322","67,076"
Incorporated,"16,873","16,583","16,469","16,492","16,645"
County Total,"81,575","81,917","82,234","82,814","83,721"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
